Year,Industry,series,value
2020,52,coe,107.12775951150775
2020,52,va,103.98837983417056
2021,52,gos,109.3026404874746
2021,52,taxes,98.55072463768116
2021,52,coe,116.32221700328793
2021,52,va,112.50983477576712
2022,52,gos,113.79823967501693
2022,52,taxes,118.67954911433172
2022,52,coe,119.95068107092531
2022,52,va,117.14579676814138
2023,52,gos,118.46987136086662
2023,52,taxes,126.40901771336554
2023,52,coe,124.7299201503053
2023,52,va,121.98753253041215
2019,53,gos,100
2019,53,taxes,100
2019,53,coe,100
2019,53,va,100
2020,53,gos,105.1770178309932
2020,53,taxes,95.13513513513513
2020,53,coe,99.82311320754717
2020,53,va,103.73142307281086
2021,53,gos,113.29141183564475
2021,53,taxes,103.08426073131956
2021,53,coe,112.02830188679246
2021,53,va,112.07455718307851
2022,53,gos,125.32948574381945
2022,53,taxes,115.64387917329094
2022,53,coe,122.8183962264151
2022,53,va,124.09209166399373
2023,53,gos,137.47092772848652
2023,53,taxes,123.84737678855326
2023,53,coe,126.59198113207547
2023,53,va,135.28636088242632
2019,54,gos,100
2019,54,taxes,100
2019,54,coe,100
2019,54,va,100
2020,54,gos,107.70993957074391
2020,54,taxes,-51.16822429906542
2020,54,coe,104.23706324635118
2020,54,va,101.22194664569597
2021,54,gos,114.27380704313398
2021,54,taxes,49.06542056074767
2021,54,coe,116.14329942503318
2021,54,va,113.8709092008953
2022,54,gos,118.48301729526986
2022,54,taxes,141.3551401869159
2022,54,coe,126.63423264042459
2022,54,va,124.65670558344927
2023,54,gos,134.75724109189417
2023,54,taxes,138.08411214953273
2023,54,coe,134.10880141530296
2023,54,va,134.41413102655616
2019,55,gos,100
2019,55,taxes,100
2019,55,coe,100
2019,55,va,100
2020,55,gos,101.31233595800525
2020,55,taxes,83.00000000000001
2020,55,coe,99.88808058198099
2020,55,va,99.58086785009861
2021,55,gos,103.6745406824147
2021,55,taxes,91.99999999999999
2021,55,coe,110.07274762171238
2021,55,va,108.9990138067061
2022,55,gos,113.38582677165354
2022,55,taxes,121
2022,55,coe,119.55791829882486
2022,55,va,118.98422090729782
2023,55,gos,121.25984251968504
2023,55,taxes,127
2023,55,coe,124.28651371012872
2023,55,va,124.03846153846153
2019,56,gos,100
2019,56,taxes,100
2019,56,coe,100
2019,56,va,100
2020,56,gos,106.43985419198056
2020,56,taxes,-75.15527950310559
2020,56,coe,99.26440539436045
2020,56,va,96.8218442256043
2021,56,gos,117.31470230862698
2021,56,taxes,19.875776397515526
2021,56,coe,111.05435226808338
2021,56,va,110.37003879438973
2022,56,gos,123.8760631834751
2022,56,taxes,127.32919254658384
2022,56,coe,125.29628116060485
2022,56,va,124.99253954043569
2023,56,gos,142.77035236938033
2023,56,taxes,132.29813664596273
2023,56,coe,128.81078872088273
2023,56,va,132.28886899433004
2019,61,gos,100
2019,61,taxes,100
2019,61,coe,100
2019,61,va,100
2020,61,gos,73.97849462365592
2020,61,taxes,54.36893203883495
2020,61,coe,100.93676814988291
2020,61,va,94.52460229374769
2021,61,gos,81.07526881720432
2021,61,taxes,42.71844660194175
2021,61,coe,106.69789227166277
2021,61,va,99.88901220865705
2022,61,gos,86.23655913978494
2022,61,taxes,117.4757281553398
2022,61,coe,112.36533957845434
2022,61,va,108.02811690714022
2023,61,gos,99.78494623655914
2023,61,taxes,126.2135922330097
2023,61,coe,118.36065573770492
2023,61,va,115.42730299667036
2019,62,gos,100
2019,62,taxes,100
2019,62,coe,100
2019,62,va,100
2020,62,gos,115.48721748795852
2020,62,taxes,-164.9025069637883
2020,62,coe,104.1281247611039
2020,62,va,100.04337319536526
2021,62,gos,124.4535012967766
2021,62,taxes,-110.86350974930362
2021,62,coe,109.94572280406697
2021,62,va,107.45399343205898
2022,62,gos,109.11448684698037
2022,62,taxes,65.73816155988858
2022,62,coe,117.83502790306552
2022,62,va,115.21159923167482
2023,62,gos,130.3816228232679
2023,62,taxes,100.55710306406685
2023,62,coe,126.20594755752619
2023,62,va,126.33372575748187
2019,71,gos,100
2019,71,taxes,100
2019,71,coe,100
2019,71,va,100
2020,71,gos,61.84971098265896
2020,71,taxes,61.6600790513834
2020,71,coe,81.10047846889952
2020,71,va,72.07929143821173
2021,71,gos,97.10982658959537
2021,71,taxes,41.10671936758893
2021,71,coe,95.53429027113238
2021,71,va,90.34162800506115
2022,71,gos,103.23699421965318
2022,71,taxes,120.94861660079052
2022,71,coe,115.07177033492825
2022,71,va,111.42977646562632
2023,71,gos,121.5028901734104
2023,71,taxes,144.2687747035573
2023,71,coe,126.15629984051034
2023,71,va,126.40236187262758
2019,72,gos,100
2019,72,taxes,100
2019,72,coe,100
2019,72,va,100
2020,72,gos,89.95790739627179
2020,72,taxes,36.31578947368421
2020,72,coe,79.89143261741799
2020,72,va,76.2919708029197
2021,72,gos,156.58448586891157
2021,72,taxes,6.526315789473684
2021,72,coe,100.49563370309181
2021,72,va,101.0948905109489
2022,72,gos,113.1689717378232
2022,72,taxes,126.63157894736842
2022,72,coe,116.87514751003069
2022,72,va,117.32846715328468
2023,72,gos,147.26398075766684
2023,72,taxes,133.78947368421052
2023,72,coe,127.37786169459525
2023,72,va,133.1094890510949
2019,81,gos,100
2019,81,taxes,100
2019,81,coe,100
2019,81,va,100
2020,81,gos,97.63572679509632
2020,81,taxes,7.984790874524714
2020,81,coe,99.94070560332048
2020,81,va,94.28750784682988
2021,81,gos,115.41155866900176
2021,81,taxes,-1.9011406844106464
2021,81,coe,104.77319893270085
2021,81,va,101.443816698054
2022,81,gos,108.58143607705779
2022,81,taxes,123.95437262357414
2022,81,coe,116.42454788022532
2022,81,va,114.94036409290645
2023,81,gos,125.83187390542905
2023,81,taxes,130.41825095057033
2023,81,coe,121.96857396975986
2023,81,va,123.33124084536514
2019,G,gos,100
2019,G,taxes,100
2019,G,coe,100
2019,G,va,100
2020,G,gos,105.309885606966
2020,G,taxes,166.66666666666666
2020,G,coe,103.34909757745392
2020,G,va,103.12523762451525
2021,G,gos,111.13197882875191
2021,G,taxes,175.3623188405797
2021,G,coe,106.52929253933019
2021,G,va,106.83598205459661
2022,G,gos,123.90302202492742
2022,G,taxes,217.75362318840578
2022,G,coe,109.68535855612393
2022,G,va,111.72534408029809
2023,G,gos,127.04456206248932
2023,G,taxes,173.55072463768116
2023,G,coe,116.24843161856964
2023,G,va,118.05566116645123
