year,ind,series,value,ind_title,ind_2d
2022,323,taxes,125,Printing and related support activities,FALSE
2023,323,taxes,125,Printing and related support activities,FALSE
2019,324,coe,100,Petroleum and coal products,FALSE
2020,324,coe,95.23809523809524,Petroleum and coal products,FALSE
2021,324,coe,90.47619047619048,Petroleum and coal products,FALSE
2022,324,coe,96.66666666666667,Petroleum and coal products,FALSE
2023,324,coe,102.38095238095238,Petroleum and coal products,FALSE
2019,324,gos,100,Petroleum and coal products,FALSE
2020,324,gos,30.990685859441154,Petroleum and coal products,FALSE
2021,324,gos,101.35478408128705,Petroleum and coal products,FALSE
2022,324,gos,173.4970364098222,Petroleum and coal products,FALSE
2023,324,gos,160.79593564775615,Petroleum and coal products,FALSE
2019,324,taxes,100,Petroleum and coal products,FALSE
2020,324,taxes,88.37209302325581,Petroleum and coal products,FALSE
2021,324,taxes,102.32558139534885,Petroleum and coal products,FALSE
2022,324,taxes,118.60465116279069,Petroleum and coal products,FALSE
2023,324,taxes,125.58139534883722,Petroleum and coal products,FALSE
2019,325,coe,100,Chemical products,FALSE
2020,325,coe,103.62976406533575,Chemical products,FALSE
2021,325,coe,107.07803992740472,Chemical products,FALSE
2022,325,coe,114.33756805807622,Chemical products,FALSE
2023,325,coe,118.78402903811252,Chemical products,FALSE
2019,325,gos,100,Chemical products,FALSE
2020,325,gos,107.05258866693845,Chemical products,FALSE
2021,325,gos,132.93925805136567,Chemical products,FALSE
2022,325,gos,152.30330207908682,Chemical products,FALSE
2023,325,gos,154.01549123522216,Chemical products,FALSE
2019,325,taxes,100,Chemical products,FALSE
2020,325,taxes,81.34715025906735,Chemical products,FALSE
2021,325,taxes,89.11917098445595,Chemical products,FALSE
2022,325,taxes,112.95336787564766,Chemical products,FALSE
2023,325,taxes,120.20725388601036,Chemical products,FALSE
2019,326,coe,100,Plastics and rubber products,FALSE
2020,326,coe,100,Plastics and rubber products,FALSE
2021,326,coe,107.70750988142292,Plastics and rubber products,FALSE
2022,326,coe,116.00790513833992,Plastics and rubber products,FALSE
2023,326,coe,119.76284584980237,Plastics and rubber products,FALSE
2019,326,gos,100,Plastics and rubber products,FALSE
2020,326,gos,95.26813880126183,Plastics and rubber products,FALSE
2021,326,gos,86.43533123028391,Plastics and rubber products,FALSE
2022,326,gos,105.04731861198736,Plastics and rubber products,FALSE
2023,326,gos,108.20189274447948,Plastics and rubber products,FALSE
2019,326,taxes,100,Plastics and rubber products,FALSE
2020,326,taxes,-20.833333333333336,Plastics and rubber products,FALSE
2021,326,taxes,41.66666666666667,Plastics and rubber products,FALSE
2022,326,taxes,112.5,Plastics and rubber products,FALSE
2023,326,taxes,116.66666666666667,Plastics and rubber products,FALSE
2019,327,coe,100,Nonmetallic mineral products,FALSE
2020,327,coe,98.74213836477988,Nonmetallic mineral products,FALSE
2021,327,coe,104.0880503144654,Nonmetallic mineral products,FALSE
2022,327,coe,111.63522012578616,Nonmetallic mineral products,FALSE
2023,327,coe,118.23899371069182,Nonmetallic mineral products,FALSE
2019,327,gos,100,Nonmetallic mineral products,FALSE
2020,327,gos,110.50847457627118,Nonmetallic mineral products,FALSE
2021,327,gos,114.57627118644066,Nonmetallic mineral products,FALSE
2022,327,gos,116.94915254237289,Nonmetallic mineral products,FALSE
2023,327,gos,125.42372881355932,Nonmetallic mineral products,FALSE
2019,327,taxes,100,Nonmetallic mineral products,FALSE
2020,327,taxes,-11.764705882352942,Nonmetallic mineral products,FALSE
2021,327,taxes,52.94117647058824,Nonmetallic mineral products,FALSE
2022,327,taxes,117.64705882352942,Nonmetallic mineral products,FALSE
2023,327,taxes,123.52941176470588,Nonmetallic mineral products,FALSE
2019,331,coe,100,Primary metals,FALSE
2020,331,coe,90.88235294117646,Primary metals,FALSE
2021,331,coe,101.47058823529412,Primary metals,FALSE
2022,331,coe,112.05882352941177,Primary metals,FALSE
2023,331,coe,118.23529411764707,Primary metals,FALSE
2019,331,gos,100,Primary metals,FALSE
2020,331,gos,78.75816993464052,Primary metals,FALSE
2021,331,gos,119.93464052287582,Primary metals,FALSE
2022,331,gos,142.15686274509804,Primary metals,FALSE
2023,331,gos,132.02614379084966,Primary metals,FALSE
2019,331,taxes,100,Primary metals,FALSE
2020,331,taxes,42.85714285714286,Primary metals,FALSE
2021,331,taxes,71.42857142857143,Primary metals,FALSE
2022,331,taxes,114.28571428571429,Primary metals,FALSE
2023,331,taxes,121.42857142857143,Primary metals,FALSE
2019,332,coe,100,Fabricated metal products,FALSE
2020,332,coe,95.13564078578109,Fabricated metal products,FALSE
2021,332,coe,101.0289990645463,Fabricated metal products,FALSE
2022,332,coe,108.60617399438728,Fabricated metal products,FALSE
2023,332,coe,114.8737137511693,Fabricated metal products,FALSE
2019,332,gos,100,Fabricated metal products,FALSE
2020,332,gos,110.43841336116911,Fabricated metal products,FALSE
2021,332,gos,88.51774530271399,Fabricated metal products,FALSE
2022,332,gos,114.19624217118998,Fabricated metal products,FALSE
2023,332,gos,127.13987473903967,Fabricated metal products,FALSE
2019,332,taxes,100,Fabricated metal products,FALSE
2020,332,taxes,-160,Fabricated metal products,FALSE
2021,332,taxes,-62.5,Fabricated metal products,FALSE
2022,332,taxes,120,Fabricated metal products,FALSE
2023,332,taxes,125,Fabricated metal products,FALSE
2019,333,coe,100,Machinery,FALSE
2020,333,coe,94.30814524043178,Machinery,FALSE
2021,333,coe,100,Machinery,FALSE
2022,333,coe,107.94896957801765,Machinery,FALSE
2023,333,coe,114.3277723258096,Machinery,FALSE
2019,333,gos,100,Machinery,FALSE
2020,333,gos,103.08529945553539,Machinery,FALSE
2021,333,gos,100,Machinery,FALSE
2022,333,gos,110.52631578947368,Machinery,FALSE
2023,333,gos,143.19419237749548,Machinery,FALSE
2019,333,taxes,100,Machinery,FALSE
2020,333,taxes,-72.5,Machinery,FALSE
2021,333,taxes,10,Machinery,FALSE
2022,333,taxes,117.5,Machinery,FALSE
2023,333,taxes,125,Machinery,FALSE
2019,334,coe,100,Computer and electronic products,FALSE
2020,334,coe,105.39702233250621,Computer and electronic products,FALSE
2021,334,coe,114.08188585607941,Computer and electronic products,FALSE
2022,334,coe,116.12903225806453,Computer and electronic products,FALSE
2023,334,coe,122.51861042183624,Computer and electronic products,FALSE
2019,334,gos,100,Computer and electronic products,FALSE
2020,334,gos,102.08333333333333,Computer and electronic products,FALSE
2021,334,gos,105,Computer and electronic products,FALSE
2022,334,gos,105.10416666666667,Computer and electronic products,FALSE
2023,334,gos,103.33333333333333,Computer and electronic products,FALSE
2019,334,taxes,100,Computer and electronic products,FALSE
2020,334,taxes,62.63736263736264,Computer and electronic products,FALSE
2021,334,taxes,85.71428571428572,Computer and electronic products,FALSE
2022,334,taxes,117.58241758241759,Computer and electronic products,FALSE
2023,334,taxes,126.37362637362638,Computer and electronic products,FALSE
2019,335,coe,100,"Electrical equipment, appliances, and components",FALSE
