"","reference_area","ref_area","decade","var","contr_total","contr_unit_labor_cost","contr_unit_profit","contr_unit_tax","inflation_cpi","inflation_def"
"113","France","FRA","1990-1999","mean",1.4545434943255,0.78991391526919,0.347729991026761,0.316899588029545,1.8709793741304,1.41576204302858
"114","France","FRA","1990-1999","sd",0.832763689945078,0.71699179689018,0.64324608005748,0.335740779628204,0.912275980610138,0.793058404992549
"115","France","FRA","2000-2009","mean",1.77029702357607,1.01090230886493,0.641657104451464,0.117737610259676,1.72899753708051,1.75661019686642
"116","France","FRA","2000-2009","sd",0.791885747559892,0.486515507792484,0.865133611465617,0.29835197180171,0.746989688683715,0.682006590630168
"117","France","FRA","2010-2019","mean",0.912825493825996,0.373216794297375,0.197373221890472,0.342235477638148,1.11816771903884,0.890711986146098
"118","France","FRA","2010-2019","sd",0.525126169930855,0.440237086319571,0.614061801104151,0.433757493772416,0.736558330969192,0.361424527539596
"119","France","FRA","2020-","mean",3.27123349142404,1.54498754730984,1.36120270351138,0.365043240602813,3.71422298093358,3.18221437545562
"120","France","FRA","2020-","sd",1.6646625431733,1.01905977888926,1.7741250709262,1.16710442885858,1.82193383362438,1.89592142387079
"121","France","FRA",NA,"mean",3.46424710836656,2.1274777852615,2.11138051950533,-0.774611196400272,0.478625935792748,3.05355630150556
"122","France","FRA",NA,"sd",1.68384624179975,1.02878236674542,1.79581209591399,0.80830059389565,0.491002371604425,1.63037774968101
"123","Germany","DEU","1990-1999","mean",1.98032379043134,0.84052732513646,0.778600776920397,0.361195688374487,2.35482603122872,1.84687993053064
"124","Germany","DEU","1990-1999","sd",1.96792966627367,1.51456335682989,0.911651175637806,0.510490748287018,1.61712533538816,1.79728846106964
"125","Germany","DEU","2000-2009","mean",1.16721335979545,0.451046492267795,0.528837278406728,0.187329589120927,1.59154994609927,1.08260843801888
"126","Germany","DEU","2000-2009","sd",1.00071908041328,1.32766639469728,1.35806218733518,0.335507553776538,0.716780794243361,0.722878441558256
"127","Germany","DEU","2010-2019","mean",1.59080388943636,1.07225192760398,0.365765169634345,0.152786792198035,1.32917481332942,1.55360631119331
"128","Germany","DEU","2010-2019","sd",0.638532654424671,0.812438276448566,0.78410031141812,0.250108386739042,0.587475572262918,0.442905475497817
"129","Germany","DEU","2020-","mean",5.14487684487222,2.15806210046709,2.28343601679807,0.703378727607053,4.88971134156046,4.81274103348641
"130","Germany","DEU","2020-","sd",1.91655709291408,1.92355856840143,1.51361814728934,1.37406875624577,2.34614218292731,1.94828429105532
