reference_area,ref_area,series,decade,var,value
Austria,AUT,contr_total,2020-,mean,4.952284139060631
Austria,AUT,contr_total,2020-,sd,2.1028062000965377
Austria,AUT,contr_unit_labor_cost,1990-99,mean,-0.11860489009506638
Austria,AUT,contr_unit_labor_cost,1990-99,sd,0.33024507045619933
Austria,AUT,contr_unit_labor_cost,2000-09,mean,0.6726667832536558
Austria,AUT,contr_unit_labor_cost,2000-09,sd,0.8213737834308397
Austria,AUT,contr_unit_labor_cost,2010-19,mean,0.9106756530854255
Austria,AUT,contr_unit_labor_cost,2010-19,sd,0.5490171236767158
Austria,AUT,contr_unit_labor_cost,2020-,mean,2.6992236622504495
Austria,AUT,contr_unit_labor_cost,2020-,sd,2.5480659992361914
Austria,AUT,contr_unit_profit,1990-99,mean,0.5165415610173967
Austria,AUT,contr_unit_profit,1990-99,sd,0.696294733037419
Austria,AUT,contr_unit_profit,2000-09,mean,0.9453106152705573
Austria,AUT,contr_unit_profit,2000-09,sd,1.1096623886941153
Austria,AUT,contr_unit_profit,2010-19,mean,0.590319467937437
Austria,AUT,contr_unit_profit,2010-19,sd,0.7382240359124702
Austria,AUT,contr_unit_profit,2020-,mean,1.0059390341582246
Austria,AUT,contr_unit_profit,2020-,sd,2.2993792697809683
Austria,AUT,contr_unit_tax,1990-99,mean,0.39502161658970897
Austria,AUT,contr_unit_tax,1990-99,sd,0.44663794539129625
Austria,AUT,contr_unit_tax,2000-09,mean,0.20762859849321877
Austria,AUT,contr_unit_tax,2000-09,sd,0.31354959385190345
Austria,AUT,contr_unit_tax,2010-19,mean,0.19265419573154885
Austria,AUT,contr_unit_tax,2010-19,sd,0.27047274472640537
Austria,AUT,contr_unit_tax,2020-,mean,1.2471214426519575
Austria,AUT,contr_unit_tax,2020-,sd,2.942047157528063
Austria,AUT,gdp,1990-99,mean,47155.065
Austria,AUT,gdp,1990-99,sd,2489.2717073314943
Austria,AUT,gdp,2000-09,mean,62670.445
Austria,AUT,gdp,2000-09,sd,7085.965055963325
Austria,AUT,gdp,2010-19,mean,85339.69
Austria,AUT,gdp,2010-19,sd,8104.351574966788
Austria,AUT,gdp,2020-,mean,108870.04736842104
Austria,AUT,gdp,2020-,sd,10628.098137869594
Austria,AUT,inflation_cpi,1990-99,mean,1.1654569718100167
Austria,AUT,inflation_cpi,1990-99,sd,0.6098613795831171
Austria,AUT,inflation_cpi,2000-09,mean,1.9862365572344254
Austria,AUT,inflation_cpi,2000-09,sd,0.8455341843457532
Austria,AUT,inflation_cpi,2010-19,mean,1.8591651684444366
Austria,AUT,inflation_cpi,2010-19,sd,0.7175737998490459
Austria,AUT,inflation_cpi,2020-,mean,4.844731175471331
Austria,AUT,inflation_cpi,2020-,sd,3.312043572670164
